Image,png,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo
5_voice_en_35071004_iplap,4.png,19.59735107,6.145837784,4.094408746,4.92723608,66.17906189,0.598143399,0.44959408,4.331777573,60.63253403,71.00301361,0.590751171,0.606883943,54.66580582,0.413263649,0.280029297,4.821098804,4.402122498,5.017161846,0.959835408,0.965894639,0.949532529
5_voice_en_35071004_iplap,5.png,13.33123779,6.752048969,3.668166788,4.903698444,65.00410461,0.622099519,0.481923997,4.454818726,61.08827972,71.31368256,0.637429237,0.626950026,59.06343079,0.415284634,0.258056641,4.917226791,4.450148582,5.060836792,0.955518791,0.958816648,0.947411663
5_voice_en_35071004_mkittalk,0.png,18.36346436,5.29098177,6.702705891,4.371982574,75.05839539,0.398806155,0.544491112,3.858920574,56.71086502,65.09041595,0.6127882,0.540444493,66.55021667,0.528671741,0.179199219,3.542225838,3.664072514,4.662236691,0.82394983,0.820585728,0.820752369
5_voice_en_35071004_mkittalk,1.png,22.08514404,5.268471718,7.246726906,4.181684494,73.73769379,0.414809465,0.506123126,3.835728168,55.88323975,61.08730316,0.641640842,0.586418271,64.16326904,0.527436674,0.185302734,3.655099869,3.552587032,4.759960651,0.812357178,0.842947721,0.833479723
5_voice_en_35071004_mkittalk,2.png,29.59100342,4.909274101,7.509696209,3.770205021,71.48336792,0.390649766,0.388068706,3.724040031,51.36673737,60.32341003,0.508101285,0.541311502,56.53606415,0.493943125,0.169677734,3.441395283,3.541017056,4.635864258,0.830535484,0.843117535,0.838997931
5_voice_en_35071004_mkittalk,3.png,33.18280029,4.364659786,7.214109958,3.278731346,71.49855804,0.355563819,0.382314682,3.560834169,49.87870789,65.38494873,0.469840735,0.514397681,54.24743652,0.463348925,0.146484375,3.364409447,3.584335327,4.753278732,0.797830371,0.762375176,0.795670171
5_voice_en_35071004_mkittalk,4.png,31.43328857,4.745331287,7.571104691,3.68678093,72.40292358,0.378234386,0.408270478,3.590663433,49.35353088,62.1344223,0.598039925,0.587992072,56.21466827,0.478421003,0.162353516,3.503904104,3.495364428,4.606168747,0.823650091,0.812477708,0.791279583
5_voice_en_35071004_mkittalk,5.png,34.47625732,4.273837566,7.492245416,3.404294491,71.80660248,0.341734499,0.404159367,3.666116238,48.19282532,64.13686371,0.574560583,0.53816843,57.98332214,0.453321427,0.107910156,3.453249454,3.368219852,4.21361208,0.790621048,0.790436268,0.785026742
5_voice_en_35071004_sad,0.png,17.20135498,5.543846607,5.366429444,5.431681633,77.37644196,0.440397769,0.531280696,4.237997055,68.96141815,71.07525635,0.542802274,0.615106583,77.33699799,0.546434283,0.372070313,4.565418243,4.317927837,5.077658176,0.862849252,0.89431715,0.875814734
5_voice_en_35071004_sad,1.png,14.71258545,5.659296513,5.331267031,5.494644165,77.03739166,0.422063798,0.498951375,4.238717079,67.83335114,70.82577515,0.532142639,0.604589045,74.61663055,0.529361427,0.362548828,4.608311653,4.262899876,5.241061687,0.856248147,0.883646727,0.874063549
5_voice_en_35071004_sad,2.png,20.69500732,5.044471264,5.956846556,5.395909786,78.15392303,0.395662516,0.489237845,4.143318653,66.00499725,70.5182724,0.518043458,0.599689186,72.73963928,0.517873168,0.387939453,4.390336037,4.334965229,4.896184444,0.849036351,0.887094319,0.865661046
5_voice_en_35071004_sad,3.png,13.94989014,5.424038887,5.341333622,5.369420052,75.77605438,0.440102369,0.499076933,4.040922165,65.32113647,69.31408691,0.513629436,0.603854537,75.50125122,0.519446373,0.348388672,4.573539734,4.210235596,4.813953876,0.827926298,0.844165444,0.845882925
5_voice_en_35071004_sad,4.png,16.3883667,5.380292416,5.391236602,5.509444237,77.00133514,0.439837664,0.496887684,4.154752731,66.94243622,70.45366669,0.493018836,0.618451715,73.77857971,0.514033079,0.3671875,4.528409004,4.378202438,4.899666309,0.871968336,0.903572023,0.879609916
5_voice_en_35071004_sad,5.png,13.52362061,5.668366432,5.351947229,5.428608894,77.18215179,0.451288491,0.484835923,4.216948032,67.44010925,69.50951385,0.518465817,0.612181485,73.4865036,0.529198647,0.398681641,4.594915867,4.255120277,5.154076576,0.844233613,0.874517202,0.866918074
5_voice_en_35071004_vidtalk,0.png,36.32244873,3.321109772,5.66385601,4.982156277,56.75950623,0.360398054,0.318963766,3.773946762,54.72914886,65.09075165,0.521989942,0.574205697,28.3346386,0.306764871,0.202880859,4.538237572,4.2853055,5.196590424,0.838703667,0.852884054,0.84117565
5_voice_en_35071004_vidtalk,1.png,29.01678467,3.406902075,5.50060263,5.002943039,58.79610443,0.356442511,0.312927067,3.872389317,54.84505463,65.07830811,0.492133528,0.55284363,32.23768234,0.319910139,0.212890625,4.595760345,4.384001255,5.336931229,0.833423879,0.857099652,0.831598639
5_voice_en_35071004_vidtalk,2.png,28.84490967,3.422748089,5.425292931,4.977917671,58.63446045,0.355496287,0.313144773,3.883324146,55.41295624,64.85805511,0.481354803,0.553249538,32.86384583,0.317551494,0.21081543,4.575036049,4.359624863,5.390525818,0.814068058,0.850842476,0.82473441
5_voice_en_35071004_vidtalk,3.png,28.64764404,3.445346594,5.432629696,5.002086639,58.23716354,0.354023218,0.309402794,3.870569229,55.24420166,64.828125,0.491665423,0.548524499,32.46684265,0.320143491,0.212280273,4.606887817,4.429672241,5.262438774,0.840301787,0.850861132,0.816783042
5_voice_en_35071004_vidtalk,4.png,28.47088623,3.366173983,5.456139235,5.091569901,58.62284088,0.358454049,0.311095655,3.897913218,55.1456871,65.17436218,0.486075878,0.54394722,33.28931427,0.317043453,0.203857422,4.568438053,4.356015205,5.254491806,0.832415138,0.854228675,0.842919104
5_voice_en_35071004_vidtalk,5.png,28.67108154,3.465123415,5.471903743,5.033537865,58.56546021,0.35554859,0.313232303,3.882973433,55.00273895,65.34064484,0.49466452,0.553972363,32.81695557,0.320905298,0.209106445,4.610986233,4.379526138,5.314517975,0.829128503,0.849818647,0.832884313
5_voice_en_35071004_wavlip,0.png,32.90936279,5.597985268,4.606440393,4.69579792,61.54932022,0.636866808,0.435615122,4.268714905,47.95316696,66.12601471,0.437765121,0.460334837,42.28927994,0.366132826,0.242431641,4.860272408,4.427623272,4.660645008,0.89895864,0.917685568,0.896426994
5_voice_en_35071004_wavlip,1.png,24.45526123,6.085223675,4.339655651,4.722036839,62.38655853,0.649524331,0.449570328,4.345184326,50.25013733,67.71372986,0.448222011,0.454224378,45.90560913,0.365435511,0.205932617,4.894994736,4.463647842,4.605466366,0.877798206,0.907328725,0.87498034
